127.0.0.1 - - [22/Jun/2019:14:13:14 +0200] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:19 +0200] "GET /TebFlix01/index.jsp HTTP/1.1" 200 5762
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:19 +0200] "GET /TebFlix01/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:19 +0200] "GET /TebFlix01/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:19 +0200] "GET /TebFlix01/js/scriptM.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:19 +0200] "GET /TebFlix01/imagenes/goku.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:19 +0200] "GET /TebFlix01/imagenes/detective_pikachu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:19 +0200] "GET /TebFlix01/imagenes/avengers_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:19 +0200] "GET /TebFlix01/imagenes/deadpool_vs_thanos.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:19 +0200] "GET /TebFlix01/imagenes/dragon_ball_super.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:19 +0200] "GET /TebFlix01/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:19 +0200] "GET /TebFlix01/ HTTP/1.1" 200 5762
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:33 +0200] "GET /TebFlix01/index.jsp HTTP/1.1" 200 5762
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:33 +0200] "GET /TebFlix01/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:33 +0200] "GET /TebFlix01/js/scriptM.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:33 +0200] "GET /TebFlix01/css/style.css HTTP/1.1" 200 7214
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:33 +0200] "GET /TebFlix01/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:33 +0200] "GET /TebFlix01/imagenes/goku.jpg HTTP/1.1" 200 216372
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:33 +0200] "GET /TebFlix01/img/instagramblanco32.png HTTP/1.1" 200 1711
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:33 +0200] "GET /TebFlix01/img/youtubeblanco32.png HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:33 +0200] "GET /TebFlix01/img/twitterblanco32.png HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:33 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [22/Jun/2019:14:13:34 +0200] "GET /TebFlix01/comics/ejemplo_esp.pdf HTTP/1.1" 206 12772
